time,userid,status
2023-04-16T14:40:44,230993,200
2023-04-16T14:40:44,751667,200
2023-04-16T14:40:44,97516,200
2023-04-16T14:40:44,552922,200
2023-04-16T14:40:44,250049,200
2023-04-16T14:40:45,835254,200
2023-04-16T14:40:45,620569,200
2023-04-16T14:40:45,98594,200
2023-04-16T14:40:46,374203,200
2023-04-16T14:40:46,101827,200
2023-04-16T14:40:46,943468,200
2023-04-16T14:40:46,152255,200
2023-04-16T14:40:47,170522,200
2023-04-16T14:40:47,164019,200
2023-04-16T14:40:47,293378,200
2023-04-16T14:40:47,438712,200
2023-04-16T14:40:48,960734,200
2023-04-16T14:40:48,113803,200
2023-04-16T14:40:49,319890,200
2023-04-16T14:40:49,157611,200
2023-04-16T14:40:49,444348,200
2023-04-16T14:40:49,509858,200
2023-04-16T14:40:50,768932,200
2023-04-16T14:40:50,97938,200
2023-04-16T14:40:50,999377,200
2023-04-16T14:40:50,648062,200
2023-04-16T14:40:51,729893,200
2023-04-16T14:40:51,601147,200
2023-04-16T14:40:51,623044,200
2023-04-16T14:40:51,476226,200
2023-04-16T14:40:52,313709,200
2023-04-16T14:40:52,679912,200
2023-04-16T14:40:52,389049,200
2023-04-16T14:40:52,263512,200
2023-04-16T14:40:53,28814,200
2023-04-16T14:40:53,175129,200
2023-04-16T14:40:53,546939,200
2023-04-16T14:40:54,222016,200
2023-04-16T14:40:54,515662,200
2023-04-16T14:40:54,108451,200
2023-04-16T14:40:54,595308,200
2023-04-16T14:40:54,87274,200
2023-04-16T14:40:55,373574,200
2023-04-16T14:40:55,666046,200
2023-04-16T14:40:55,120961,200
2023-04-16T14:40:55,844419,200
2023-04-16T14:40:55,777618,200
2023-04-16T14:40:56,19761,200
2023-04-16T14:40:56,193356,200
2023-04-16T14:40:56,454161,200
2023-04-16T14:40:56,536610,200
2023-04-16T14:40:56,428954,200
2023-04-16T14:40:57,815566,200
2023-04-16T14:40:57,736841,200
2023-04-16T14:40:57,861536,200
2023-04-16T14:40:58,24037,200
2023-04-16T14:40:58,921056,200
2023-04-16T14:40:58,221545,200
2023-04-16T14:40:59,549569,200
2023-04-16T14:40:59,497972,200
2023-04-16T14:41:00,721163,200
2023-04-16T14:41:00,807944,200
2023-04-16T14:41:00,58927,200
2023-04-16T14:41:01,230226,200
2023-04-16T14:41:01,628561,200
2023-04-16T14:41:01,384078,200
2023-04-16T14:41:01,851860,200
2023-04-16T14:41:02,269833,200
2023-04-16T14:41:02,187483,200
2023-04-16T14:41:03,142654,200
2023-04-16T14:41:03,141519,200
2023-04-16T14:41:03,698784,200
2023-04-16T14:41:03,911536,200
2023-04-16T14:41:04,153341,200
2023-04-16T14:41:04,715070,200
2023-04-16T14:41:05,678327,200
2023-04-16T14:41:05,50184,200
2023-04-16T14:41:06,461981,200
2023-04-16T14:41:06,482820,200
2023-04-16T14:41:06,366457,200
2023-04-16T14:41:07,514901,200
2023-04-16T14:41:07,79581,200
2023-04-16T14:41:07,823839,200
2023-04-16T14:41:07,430113,200
2023-04-16T14:41:07,804551,200
2023-04-16T14:41:07,394942,200
2023-04-16T14:41:08,184029,200
2023-04-16T14:41:08,399582,200
2023-04-16T14:41:09,228185,200
2023-04-16T14:41:09,117366,200
2023-04-16T14:41:09,871817,200
2023-04-16T14:41:09,970464,200
2023-04-16T14:41:10,420301,200
2023-04-16T14:41:10,933148,200
2023-04-16T14:41:10,738455,200
2023-04-16T14:41:10,709954,200
2023-04-16T14:41:10,909288,200
2023-04-16T14:41:11,376851,200
2023-04-16T14:41:11,871808,200
2023-04-16T14:41:11,518986,200
2023-04-16T14:41:11,73521,200
2023-04-16T14:41:12,744978,200
2023-04-16T14:41:12,862566,200
2023-04-16T14:41:12,425238,200
2023-04-16T14:41:13,580759,200
2023-04-16T14:41:13,49378,200
2023-04-16T14:41:13,906934,200
2023-04-16T14:41:14,722614,200
2023-04-16T14:41:14,315987,200
2023-04-16T14:41:14,658647,200
2023-04-16T14:41:15,803085,200
2023-04-16T14:41:15,920735,200
2023-04-16T14:41:15,537307,200
2023-04-16T14:41:15,12168,200
2023-04-16T14:41:15,43475,200
2023-04-16T14:41:16,701826,200
2023-04-16T14:41:16,781685,200
2023-04-16T14:41:16,503135,200
2023-04-16T14:41:16,111505,200
2023-04-16T14:41:16,359607,200
2023-04-16T14:41:17,826861,200
2023-04-16T14:41:17,495923,200
2023-04-16T14:41:18,360016,200
2023-04-16T14:41:18,603532,200
2023-04-16T14:41:18,381180,200
2023-04-16T14:41:18,300329,200
2023-04-16T14:41:19,755620,200
2023-04-16T14:41:19,793267,200
2023-04-16T14:41:20,345466,200
2023-04-16T14:41:21,579281,200
2023-04-16T14:41:21,316884,200
2023-04-16T14:41:21,256909,200
2023-04-16T14:41:22,626345,200
2023-04-16T14:41:22,500662,200
2023-04-16T14:41:22,938083,200
2023-04-16T14:41:23,502264,200
2023-04-16T14:41:23,601579,200
2023-04-16T14:41:24,77465,200
2023-04-16T14:41:24,391181,200
2023-04-16T14:41:24,98558,200
2023-04-16T14:41:24,883097,200
2023-04-16T14:41:25,993608,200
2023-04-16T14:41:25,586423,200
2023-04-16T14:41:25,964893,200
2023-04-16T14:41:25,460456,200
2023-04-16T14:41:25,119818,200
2023-04-16T14:41:26,125080,200
2023-04-16T14:41:27,808505,200
2023-04-16T14:41:27,910217,200
2023-04-16T14:41:28,172030,200
2023-04-16T14:41:28,559295,200
2023-04-16T14:41:28,767164,200
2023-04-16T14:41:28,710697,200
2023-04-16T14:41:29,659323,200
2023-04-16T14:41:29,169378,200
2023-04-16T14:41:29,782760,200
2023-04-16T14:41:29,830128,200
2023-04-16T14:41:30,23243,200
2023-04-16T14:41:30,927932,200
2023-04-16T14:41:30,217325,200
2023-04-16T14:41:30,370520,200
2023-04-16T14:41:31,930724,200
2023-04-16T14:41:31,517760,200
2023-04-16T14:41:31,337370,200
2023-04-16T14:41:31,639997,200
2023-04-16T14:41:32,823697,200
2023-04-16T14:41:32,504400,200
2023-04-16T14:41:32,291781,200
2023-04-16T14:41:32,869291,200
2023-04-16T14:41:33,447013,200
2023-04-16T14:41:33,545027,200
2023-04-16T14:41:33,805428,200
2023-04-16T14:41:34,251321,200
2023-04-16T14:41:34,585601,200
2023-04-16T14:41:34,673989,200
2023-04-16T14:41:35,627063,200
2023-04-16T14:41:35,832375,200
2023-04-16T14:41:35,641476,200
2023-04-16T14:41:35,782250,200
2023-04-16T14:41:35,513987,200
2023-04-16T14:41:35,958342,200
2023-04-16T14:41:35,944759,200
2023-04-16T14:41:36,104519,200
2023-04-16T14:41:36,985702,200
2023-04-16T14:41:36,919347,200
2023-04-16T14:41:36,500169,200
2023-04-16T14:41:37,604098,200
2023-04-16T14:41:37,589958,200
2023-04-16T14:41:37,275127,200
2023-04-16T14:41:37,144983,200
2023-04-16T14:41:37,392490,200
2023-04-16T14:41:38,817817,200
2023-04-16T14:41:38,233854,200
2023-04-16T14:41:39,338728,200
2023-04-16T14:41:39,60874,200
2023-04-16T14:41:40,375287,200
2023-04-16T14:41:40,789289,200
2023-04-16T14:41:40,531210,200
2023-04-16T14:41:40,837107,200
2023-04-16T14:41:40,838306,200
2023-04-16T14:41:40,730168,200
2023-04-16T14:41:41,326038,200
2023-04-16T14:41:41,205620,200
2023-04-16T14:41:42,535072,200
2023-04-16T14:41:42,976906,200
2023-04-16T14:41:42,818754,200
2023-04-16T14:41:42,775808,200
2023-04-16T14:41:42,402038,200
2023-04-16T14:41:43,598856,200
2023-04-16T14:41:43,951787,200
2023-04-16T14:41:44,810503,200
2023-04-16T14:41:44,712284,200
2023-04-16T14:41:45,534588,200
2023-04-16T14:41:45,816948,200
2023-04-16T14:41:46,881180,200
2023-04-16T14:41:46,338130,200
2023-04-16T14:41:46,463606,200
2023-04-16T14:41:46,286288,200
2023-04-16T14:41:47,895092,200
2023-04-16T14:41:47,606607,200
2023-04-16T14:41:47,297330,200
2023-04-16T14:41:47,187635,200
2023-04-16T14:41:48,751659,200
2023-04-16T14:41:48,441914,200
2023-04-16T14:41:48,728179,200
2023-04-16T14:41:48,266456,200
2023-04-16T14:41:49,173146,200
2023-04-16T14:41:49,945655,200
2023-04-16T14:41:49,7930,200
2023-04-16T14:41:49,154263,200
2023-04-16T14:41:49,179393,200
2023-04-16T14:41:50,427490,200
2023-04-16T14:41:50,255380,200
