movie_code,movie_id
the+interrupters+2011,564
dawn+of+the+planet+of+the+apes+2014,565
turbulence+2+fear+of+flying+1999,566
the+lion+king+1994,567
tremors+4+the+legend+begins+2004,568
the+thirteenth+floor+1999,569
the+mansion+of+madness+1973,570
hellboy+ii+the+golden+army+2008,571
the+big+picture+2010,572
asterix+and+cleopatra+1968,573
repo+the+genetic+opera+2008,574
troy+2004,575
trial+1955,576
the+death+and+life+of+bobby+z+2007,577
welcome+to+collinwood+2002,578
only+angels+have+wings+1939,579
predestination+2014,580
lost+and+delirious+2001,581
friends+with+benefits+2011,582
the+little+norse+prince+1968,583
the+death+of+mr.+lazarescu+2005,584
johnny+guitar+1954,585
roman+holiday+1953,586
charlottes+web+2006,587
chimes+at+midnight+1965,588
breach+2007,589
the+cow+1969,590
the+noahs+ark+principle+1984,591
redes+1936,592
the+emperor+and+the+assassin+1998,593
the+prestige+2006,594
the+adventures+of+andr+and+wally+b.+1984,595
shaft+1971,596
house+of+1000+corpses+2003,597
venus++fleur+2004,598
vice+2015,599
unleashed+2005,600
lovesick+1983,601
the+deadly+trap+1971,602
the+siege+1998,603
scrooge+1970,604
indiana+jones+and+the+temple+of+doom+1984,605
nas+time+is+illmatic+2014,606
the+slingshot+1993,607
faces+1968,608
harper+1966,609
tarzan+and+his+mate+1934,610
ten+canoes+2006,611
im+not+there.+2007,612
stand+by+me+1986,613
the+dancing+masters+1943,614
the+great+white+hope+1970,615
drunken+tai+chi+1984,616
the+incredibles+2004,617
the+haunted+house+1982,618
in+the+city+of+sylvia+2007,619
the+aristocats+1970,620
roger++me+1989,621
mr.+thank+you+1936,622
father+of+invention+2010,623
jane+eyre+1971,624
may+2002,625
lone+wolf+and+cub+sword+of+vengeance+1972,626
pinocchio+1940,627
gullivers+travels+1939,628
jackass+3d+2010,629
total+recall+1990,630
smile+1975,631
the+man+who+knew+too+much+1934,632
pickup+on+south+street+1953,633
a+day+in+the+country+1936,634
constantine+2005,635
camp+hell+2010,636
tell+it+to+the+marines+1926,637
a+high+wind+in+jamaica+1965,638
another+year+2010,639
conan+the+barbarian+1982,640
moving+out+1983,641
whiplash+2014,642
the+sensation+of+sight+2006,643
12+angry+men+1957,644
laurence+anyways+2012,645
men+to+kiss+2012,646
picnic+on+the+grass+1959,647
la+cage+aux+folles+1978,648
cheri+2009,649
the+wonders+2014,650
the+two+escobars+2010,651
8+1963,652
oceans+eleven+2001,653
megamind+2010,654
nightbreed+1990,655
numb+2007,656
behind+the+sun+2001,657
lo+2009,658
wheels+on+meals+1984,659
knock+on+wood+1981,660
keeping+mum+2005,661
a+dispatch+from+reuters+1940,662
the+life++adventures+of+santa+claus+1985,663
the+perks+of+being+a+wallflower+2012,664
blood+2012,665
the+great+escape+1963,666
daisy+2006,667
chicks+with+sticks+2005,668
hairspray+1988,669
the+godfather+1972,670
executive+decision+1996,671
bangkok+dangerous+1999,672
hercules+1997,673
simon+2004,674
gamera+vs.+guiron+1969,675
the+sentimental+swordsman+1977,676
sophies+choice+1982,677
persepolis+2007,678
iron+monkey+1993,679
the+hobbit+an+unexpected+journey+2012,680
evil+2003,681
kronks+new+groove+2005,682
edward_+my+son+1949,683
bruce+almighty+2003,684
theres+always+a+woman+1938,685
the+war+room+1993,686
